geography type,code,description,2013,2014,2015,2016,2017
Area_Unit_120,505901,Stanmore Bay,0,0,0,0,0
Area_Unit_121,505902,Manly,78,54,81,75,72
Area_Unit_122,505903,Army Bay,0,0,0,0,0
Area_Unit_123,505904,Army Bay,57,60,57,51,63
Area_Unit_124,505905,Gulf Harbour,0,0,0,0,0
Area_Unit_125,505906,Vipond,39,36,42,45,36
Area_Unit_126,505907,Stanmore Bay West,36,39,48,48,66
Area_Unit_127,505908,Stanmore Bay East,36,36,42,36,36
Area_Unit_128,505909,Wade Heads,27,45,39,42,39
Area_Unit_129,505910,Gulf Harbour,27,21,33,30,36
Area_Unit_130,505911,Gulf Harbour Marina,0,0,0,0,0
Area_Unit_131,506000,Silverdale South,0,0,0,0,0
Area_Unit_132,506001,Weiti River,12,6,3,6,9
Area_Unit_133,506002,Stillwater,18,6,12,9,15
Area_Unit_134,506003,Silverdale South,12,18,9,18,6
Area_Unit_135,506200,Silverdale North,0,0,0,0,0
Area_Unit_136,506201,Silverdale North,9,6,12,9,9
Area_Unit_137,506202,Orewa West,3,0,0,6,6
Area_Unit_138,506300,Dairy Flat-Redvale,30,21,27,30,21
Area_Unit_139,506400,Paremoremo West,6,6,6,3,6
Area_Unit_140,506613,Tauhoa-Puhoi,39,39,48,45,81
Area_Unit_141,506614,Tahekeroa,33,27,45,36,42
Area_Unit_142,506615,Cape Rodney,0,0,0,0,0
Area_Unit_143,506616,Matheson Bay,0,0,0,0,0
Area_Unit_144,506620,Kawau,3,0,0,0,0
Area_Unit_145,506631,Snells Beach,45,36,33,42,36
Area_Unit_146,506632,Algies Bay-Mahurangi,0,0,0,0,0
Area_Unit_147,506633,Algies Bay,9,6,6,6,9
Area_Unit_148,506634,Mahurangi,0,3,6,3,0
Area_Unit_149,506641,Parakai,0,0,0,0,0
Area_Unit_150,506642,South Head,18,12,21,24,33
Area_Unit_151,506643,Kaukapakapa,0,0,0,0,0
Area_Unit_152,506644,Parakai Rural,6,6,9,6,15
Area_Unit_153,506645,Parakai Urban,15,12,18,18,15
Area_Unit_154,506646,Kaukapakapa Rural,24,21,39,33,27
Area_Unit_155,506647,Kaukapakapa,0,3,3,9,9
Area_Unit_156,506648,Helensville South,3,3,3,6,9
Area_Unit_157,506651,Muriwai Beach,0,0,0,0,0
Area_Unit_158,506652,Rewiti,12,24,30,27,30
Area_Unit_159,506653,Riverhead,27,30,33,30,33
Area_Unit_160,506654,Muriwai Beach,18,21,27,18,21
Area_Unit_161,506655,Muriwai Valley,9,12,9,12,9
Area_Unit_162,506656,Waitakere West,6,6,3,6,6
Area_Unit_163,506657,Point Wells,3,0,3,6,0
Area_Unit_164,506658,Omaha,0,3,3,3,6
Area_Unit_165,506659,Matakana,3,0,0,6,0
Area_Unit_166,506660,Cape Rodney,39,33,39,42,39
Area_Unit_167,506661,Cape Rodney South,21,27,33,39,33
Area_Unit_168,506800,Helensville,33,42,42,48,36
Area_Unit_169,506901,Awaruku,39,51,39,54,51
Area_Unit_170,506902,Glamorgan,33,45,60,45,45
Area_Unit_171,506903,Torbay,57,51,57,54,57
Area_Unit_172,507000,Waiake,54,63,63,60,60
Area_Unit_173,507101,Browns Bay,36,36,48,42,42
Area_Unit_174,507102,Oaktree,48,57,57,51,57
Area_Unit_175,507200,Rothesay Bay,63,57,42,60,54
Area_Unit_176,507300,Murrays Bay,45,51,48,45,36
Area_Unit_177,507400,Mairangi Bay,45,45,48,36,42
Area_Unit_178,507500,Campbells Bay,15,18,18,18,9
Area_Unit_179,507710,Castor Bay,33,15,39,27,27
Area_Unit_180,507720,Crown Hill,51,48,36,36,39
Area_Unit_181,507800,Lake Pupuke,54,42,42,51,36
Area_Unit_182,507900,Westlake,72,57,66,57,54
Area_Unit_183,508010,Takapuna Central,30,39,33,33,36
Area_Unit_184,508020,Hauraki,75,87,99,66,66
Area_Unit_185,508110,Seacliffe,48,51,54,51,60
Area_Unit_186,508120,Bayswater,30,36,39,39,33
Area_Unit_187,508210,Kaipatiki,84,99,81,81,99
Area_Unit_188,508220,Windy Ridge,63,72,72,60,66
Area_Unit_189,508310,Glenfield Central,81,87,81,72,84
Area_Unit_190,508320,Glenfield North,78,90,75,87,69
Area_Unit_191,508411,Glendhu,111,93,108,120,90
Area_Unit_192,508412,Witheford,54,48,66,66,60
Area_Unit_193,508420,Target Road,117,117,123,132,108
Area_Unit_194,508510,Forrest Hill,60,63,48,72,57
Area_Unit_195,508520,Sunnynook,99,96,93,90,78
Area_Unit_196,508610,Monarch Park,75,78,69,63,72
Area_Unit_197,508620,Sunnybrae,45,42,42,42,51
Area_Unit_198,508700,Albany North,0,0,0,0,0
Area_Unit_199,508701,Albany,36,42,42,60,45
Area_Unit_200,508702,Northcross,0,0,0,0,0
Area_Unit_201,508703,Fairview,48,63,63,48,48
Area_Unit_202,508704,Northcross,78,90,81,63,63
Area_Unit_203,508800,Albany South,0,0,0,0,0
Area_Unit_204,508801,North Harbour,0,0,0,0,0
Area_Unit_205,508802,Pinehill,0,0,0,0,0
Area_Unit_206,508803,Unsworth Heights,81,72,90,75,66
Area_Unit_207,508804,Pinehill,48,63,66,45,48
Area_Unit_208,508805,Windsor Park,30,21,24,27,30
Area_Unit_209,508806,North Harbour West,78,84,72,66,57
Area_Unit_210,508807,North Harbour East,57,30,42,48,42
Area_Unit_211,508900,Long Bay,9,12,15,18,18
Area_Unit_212,509000,Paremoremo East,21,24,30,27,27
Area_Unit_213,509100,Greenhithe,72,81,87,96,84
Area_Unit_214,509300,Narrow Neck,36,42,45,42,39
Area_Unit_215,509400,Mt Victoria,51,39,45,51,42
Area_Unit_216,509500,Stanley Bay,15,24,15,18,21
Area_Unit_217,509701,Ocean View,57,66,66,66,63
Area_Unit_218,509702,Tuff Crater,75,60,54,60,63
Area_Unit_219,509800,Northcote South,66,75,63,60,72
Area_Unit_220,510010,Beachhaven North,102,102,99,96,99
Area_Unit_221,510020,Beachhaven South,63,75,75,84,66
Area_Unit_222,510210,Birkdale North,57,57,57,72,63
Area_Unit_223,510220,Birkdale South,84,66,63,84,90
Area_Unit_224,510401,Kauri Park,72,57,66,69,69
Area_Unit_225,510402,Chelsea,39,51,45,33,33
Area_Unit_226,510500,Birkenhead East,51,48,54,42,48
Area_Unit_227,510700,Henderson North,75,78,93,81,93
Area_Unit_228,510800,Henderson South,81,63,81,90,84
Area_Unit_229,511001,Tangutu,60,57,63,48,57
Area_Unit_230,511002,Woodglen,90,90,99,90,75
Area_Unit_231,511100,Glen Eden East,141,132,126,135,117
Area_Unit_232,511300,New Lynn North,0,0,0,0,0
Area_Unit_233,511301,New Lynn North,60,69,54,51,42
Area_Unit_234,511302,New Lynn South,45,42,54,63,51
Area_Unit_235,511303,Lynnmall,45,45,48,48,36
Area_Unit_236,511401,Fruitvale,93,69,87,84,84
Area_Unit_237,511402,Rewarewa,66,81,75,81,69
Area_Unit_238,511601,Glendene North,81,93,93,87,78
Area_Unit_239,511602,Glendene South,42,54,48,45,51
Area_Unit_240,511700,Kelston Central,69,81,84,87,78
Area_Unit_241,511800,Sunnyvale,84,81,93,87,84
Area_Unit_242,511901,Kaurilands,42,36,42,36,36
Area_Unit_243,511902,Crum Park,60,63,63,60,69
Area_Unit_244,512000,Titirangi South,42,48,36,39,36
Area_Unit_245,512100,Green Bay,42,54,42,48,45
Area_Unit_246,512201,Matipo,63,48,72,66,63
Area_Unit_247,512202,Durham Green,102,81,84,81,84
Area_Unit_248,512300,Te Atatu Central,93,84,90,93,81
Area_Unit_249,512401,Edmonton,72,66,57,66,63
Area_Unit_250,512402,Wakeling,81,63,57,66,66
Area_Unit_251,512500,Mcleod,105,126,120,126,111
Area_Unit_252,512600,Konini,51,66,42,45,39
Area_Unit_253,512700,Waima,30,36,36,27,33
Area_Unit_254,512801,Laingholm,27,33,30,18,30
Area_Unit_255,512802,Armour Bay,6,9,3,3,3
Area_Unit_256,512901,Parrs Park,0,0,0,0,0
Area_Unit_257,512902,Otimai,30,33,27,30,21
Area_Unit_258,512903,Parrs Park West,48,48,54,51,54
Area_Unit_259,512904,Parrs Park,30,24,18,27,30
Area_Unit_260,512905,Oratia West,0,3,6,3,3
Area_Unit_261,512906,Oratia,72,69,66,60,72
Area_Unit_262,513010,Sturges South,0,0,0,0,0
Area_Unit_263,513011,Henderson West,36,30,30,33,33
Area_Unit_264,513012,Palm Heights,36,39,48,57,42
Area_Unit_265,513013,McLaren Park,51,48,60,48,51
Area_Unit_266,513020,Opanuku,27,30,21,21,33
Area_Unit_267,513100,Swanson,0,0,0,0,0
Area_Unit_268,513101,Swanson,27,24,21,24,15
Area_Unit_269,513102,Swanson South,15,9,15,9,12
Area_Unit_270,513210,Ranui North,0,0,0,0,0
Area_Unit_271,513211,Urlich,51,36,54,51,51
Area_Unit_272,513212,Starling Park,60,54,72,45,48
Area_Unit_273,513213,Ranui Domain,57,63,60,78,57
Area_Unit_274,513214,Ranui South,57,63,69,57,66
Area_Unit_275,513220,Sturges North,111,111,126,114,120
Area_Unit_276,513301,Kingdale,66,72,108,66,69
Area_Unit_277,513302,Fairdene,78,66,66,96,75
Area_Unit_278,513410,Whenuapai West,39,36,36,33,36
Area_Unit_279,513420,Herald,15,21,15,12,15
Area_Unit_280,513430,Hobsonville,0,0,0,0,0
Area_Unit_281,513431,Hobsonville East,21,33,39,36,84
Area_Unit_282,513432,Hobsonville South,18,18,18,27,18
Area_Unit_283,513510,Royal Road West,0,0,0,0,0
Area_Unit_284,513511,Westgate,18,18,18,27,18
Area_Unit_285,513512,Royal Road West,45,69,81,72,63
Area_Unit_286,513521,West Harbour,111,111,99,126,93
Area_Unit_287,513522,Lucken Point,63,66,66,60,72
Area_Unit_288,513530,Royal Heights,120,123,141,120,132
Area_Unit_289,513610,Massey West,9,6,6,6,6
Area_Unit_290,513620,Birdwood,0,0,0,0,0
Area_Unit_291,513621,Birdwood West,6,6,15,3,9
Area_Unit_292,513622,Birdwood East,33,30,36,39,27
Area_Unit_293,513631,Waimumu North,138,120,132,120,123
Area_Unit_294,513632,Waimumu South,81,81,105,75,72
Area_Unit_295,513701,Taupaki,12,6,6,9,12
Area_Unit_296,513702,Waitakere,27,27,21,21,24
Area_Unit_297,513800,Karekare,42,36,42,48,24
Area_Unit_298,514000,Freemans Bay,39,39,33,30,30
Area_Unit_299,514100,Auckland Central,0,0,0,0,0
Area_Unit_300,514101,Auckland Harbourside,51,51,36,45,45
Area_Unit_301,514102,Auckland Central West,93,108,105,99,105
Area_Unit_302,514103,Auckland Central East,72,90,72,75,63
Area_Unit_303,514200,Newton,9,6,12,9,6
Area_Unit_304,514300,Grafton,0,0,0,0,0
Area_Unit_305,514301,Grafton West,18,18,33,18,15
Area_Unit_306,514302,Grafton East,3,9,6,9,6
Area_Unit_307,514401,Roberton,99,105,105,90,114
Area_Unit_308,514402,Glenavon,117,123,117,111,123
Area_Unit_309,514500,New Windsor,123,132,120,108,114
Area_Unit_310,514600,Avondale South,75,102,78,90,75
Area_Unit_311,514700,Blockhouse Bay,72,60,72,63,72
Area_Unit_312,514801,Rosebank,87,81,105,75,105
Area_Unit_313,514802,Avondale West,99,78,90,87,87
Area_Unit_314,514900,Waterview,66,63,51,66,72
Area_Unit_315,515001,Point Chevalier West,42,45,45,51,30
Area_Unit_316,515002,Point Chevalier East,66,63,51,75,42
Area_Unit_317,515003,Point Chevalier South,27,24,27,21,21
Area_Unit_318,515100,Westmere,54,51,63,60,51
Area_Unit_319,515201,Herne Bay,18,24,21,21,21
Area_Unit_320,515202,St Marys,27,18,24,18,18
Area_Unit_321,515301,Ponsonby West,24,36,45,27,36
Area_Unit_322,515302,Ponsonby East,42,39,45,33,30
Area_Unit_323,515410,Grey Lynn West,51,36,45,33,36
Area_Unit_324,515420,Grey Lynn East,48,36,36,39,30
Area_Unit_325,515431,Surrey Crescent,48,39,33,39,33
Area_Unit_326,515432,St Lukes North,12,12,12,9,12
Area_Unit_327,515500,Arch Hill,27,21,27,18,24
Area_Unit_328,515600,Eden Terrace,36,27,39,30,24
Area_Unit_329,515700,Epsom North,24,21,15,21,15
Area_Unit_330,515801,Epsom Central,21,24,30,24,21
Area_Unit_331,515802,Epsom South,24,21,18,27,33
Area_Unit_332,515901,Parnell East,24,18,18,21,15
Area_Unit_333,515902,Parnell West,51,45,42,45,48
Area_Unit_334,516001,Mt Hobson,18,6,15,12,12
Area_Unit_335,516002,Remuera South,21,27,27,27,24
Area_Unit_336,516003,Abbotts Park,57,57,45,45,51
Area_Unit_337,516101,Remuera West,27,24,24,27,30
Area_Unit_338,516102,Waitaramoa,30,27,24,30,21
Area_Unit_339,516201,Orakei South,24,21,30,36,24
Area_Unit_340,516202,Waiata,18,24,27,21,24
Area_Unit_341,516301,Meadowbank North,90,99,105,90,90
Area_Unit_342,516302,Meadowbank South,57,66,63,51,42
Area_Unit_343,516400,Orakei North,69,66,90,75,78
Area_Unit_344,516500,Mission Bay,66,63,60,66,54
Area_Unit_345,516601,Kohimarama West,51,36,42,33,27
Area_Unit_346,516602,Kohimarama East,36,39,33,33,33
Area_Unit_347,516700,St Heliers,36,51,45,45,36
Area_Unit_348,516800,Glendowie,33,39,27,39,27
Area_Unit_349,516900,Glen Innes North,54,60,45,57,36
Area_Unit_350,517001,Glen Innes West,105,102,111,111,93
Area_Unit_351,517002,Glen Innes East,54,66,54,51,39
Area_Unit_352,517100,Point England,90,96,105,87,114
Area_Unit_353,517200,St Johns,0,0,0,0,0
Area_Unit_354,517201,St Johns,48,42,57,54,45
Area_Unit_355,517202,Stonefields,42,57,45,45,45
Area_Unit_356,517400,Newmarket,30,24,27,30,24
Area_Unit_357,517500,Kingsland,60,57,75,54,60
Area_Unit_358,517600,St Lukes,69,78,66,72,63
Area_Unit_359,517701,Sandringham North,57,45,54,36,45
Area_Unit_360,517702,Sandringham West,96,90,99,84,72
Area_Unit_361,517703,Sandringham East,54,42,66,39,33
Area_Unit_362,517800,Mt Albert Central,84,72,63,60,69
Area_Unit_363,517901,Springleigh,33,54,36,39,42
Area_Unit_364,517902,Owairaka West,51,48,42,45,33
Area_Unit_365,517903,Owairaka East,60,51,63,54,45
Area_Unit_366,518101,Mt Eden North,27,24,24,33,21
Area_Unit_367,518102,Sherbourne,27,27,33,24,18
Area_Unit_368,518201,Balmoral,69,54,60,42,39
Area_Unit_369,518202,Mt Eden East,21,30,15,30,15
Area_Unit_370,518301,Maungawhau,51,42,42,33,36
Area_Unit_371,518302,Mt Eden South,78,54,54,54,51
Area_Unit_372,518500,Three Kings,87,81,108,90,96
Area_Unit_373,518600,Royal Oak,60,60,63,60,60
Area_Unit_374,518701,Hillsborough West,93,111,102,93,108
Area_Unit_375,518702,Hillsborough East,78,69,57,57,72
Area_Unit_376,518801,Walmsley,87,72,84,75,57
Area_Unit_377,518802,Wesley,48,36,36,51,39
Area_Unit_378,518803,Akarana,87,66,102,90,69
Area_Unit_379,518901,Lynfield North,87,90,81,72,66
Area_Unit_380,518902,Lynfield South,51,48,51,48,60
Area_Unit_381,519001,Waikowhai West,39,51,48,42,54
Area_Unit_382,519002,Waikowhai East,69,78,90,87,78
Area_Unit_383,519200,Mt St John,27,33,24,36,30
Area_Unit_384,519300,One Tree Hill Central,24,21,21,12,18
Area_Unit_385,519400,One Tree Hill East,105,81,87,93,87
Area_Unit_386,519500,Penrose,15,15,12,12,12
Area_Unit_387,519710,Onehunga North West,63,57,69,69,75
Area_Unit_388,519720,Onehunga North East,78,63,93,63,72
Area_Unit_389,519810,Onehunga South West,54,54,60,45,54
Area_Unit_390,519820,Onehunga South East,72,69,60,54,54
Area_Unit_391,519900,Oranga,75,87,102,96,93
Area_Unit_392,520000,Te Papapa,75,81,78,75,81
Area_Unit_393,520201,Ellerslie North,102,126,111,120,108
Area_Unit_394,520202,Ellerslie South,33,36,48,45,39
Area_Unit_395,520300,Mt Wellington North,0,0,0,0,0
Area_Unit_396,520301,Mt Wellington Domain,51,33,33,42,33
Area_Unit_397,520302,Mt Wellington West,66,48,48,39,42
Area_Unit_398,520303,Mt Wellington North,69,69,66,75,63
Area_Unit_399,520401,Ferndale,96,105,105,111,84
Area_Unit_400,520402,Hamlin,117,102,120,123,84
Area_Unit_401,520500,Mt Wellington South,126,120,135,129,132
Area_Unit_402,520601,Tamaki,96,84,111,93,72
Area_Unit_403,520602,Panmure Basin,45,42,51,48,39
Area_Unit_404,520801,Waiheke Island,75,111,90,69,81
Area_Unit_405,520802,Bays-Waiheke Island,0,0,0,0,0
Area_Unit_406,520803,Bays-Waiheke Island,0,0,0,0,0
Area_Unit_407,520804,Tidal-Waiheke Island,0,0,0,0,0
Area_Unit_408,520900,Islands-Motutapu Rangitoto Rakino,0,0,0,0,0
Area_Unit_409,521000,Great Barrier Island,6,9,9,6,12
Area_Unit_410,521111,Paerata-Cape Hill,15,21,18,18,12
Area_Unit_411,521112,Eden Road-Hill Top,6,6,6,9,9
Area_Unit_412,521113,Buckland,0,0,0,0,0
Area_Unit_413,521114,Redoubt,3,3,3,3,6
Area_Unit_414,521115,Opuawhanga,0,3,3,3,3
Area_Unit_415,521116,Buckland,6,6,9,6,6
Area_Unit_416,521117,Buckland South,3,9,9,6,9
Area_Unit_417,521121,Patumahoe,27,27,33,33,27
Area_Unit_418,521122,Kingseat,51,54,66,72,54
Area_Unit_419,521131,Pokeno,15,18,27,45,57
Area_Unit_420,521132,Hunua,48,45,60,48,60
Area_Unit_421,521133,Mangatawhiri,0,0,0,0,0
Area_Unit_422,521134,Paparata,6,3,0,3,3
Area_Unit_423,521135,Mangatawhiri,18,24,30,33,30
Area_Unit_424,521136,Kaiaua,6,9,6,3,6
Area_Unit_425,521151,Awhitu,24,21,27,27,21
Area_Unit_426,521152,Glenbrook,27,21,27,30,18
Area_Unit_427,521153,Otaua,18,30,24,21,24
Area_Unit_428,521160,Bombay,6,3,6,12,9
Area_Unit_429,521201,Hingaia,36,42,45,60,72
Area_Unit_430,521202,Whangapouri Creek,6,3,3,6,6
Area_Unit_431,521203,Bremner,3,3,6,3,9
Area_Unit_432,521301,Drury,36,48,36,51,48
Area_Unit_433,521302,Runciman,0,6,3,6,3
Area_Unit_434,521501,Mellons Bay,18,27,24,27,24
Area_Unit_435,521502,Cockle Bay,36,42,45,36,42
Area_Unit_436,521601,Howick West,45,36,33,45,36
Area_Unit_437,521602,Howick Central,96,99,111,108,90
Area_Unit_438,521800,Otahuhu East,0,0,0,0,0
Area_Unit_439,521801,Otahuhu North,66,60,57,57,60
Area_Unit_440,521802,Fairburn,90,75,81,66,66
Area_Unit_441,521803,Otahuhu East,51,51,51,48,42
Area_Unit_442,521901,Otahuhu West,126,117,120,114,96
Area_Unit_443,521902,Middlemore,0,0,0,0,0
Area_Unit_444,522100,Papatoetoe West,114,126,117,132,111
Area_Unit_445,522201,Papatoetoe North,111,99,111,108,129
Area_Unit_446,522202,Papatoetoe Central,81,72,84,90,81
Area_Unit_447,522301,Dingwall,60,60,69,48,66
Area_Unit_448,522302,Papatoetoe East,105,90,90,102,114
Area_Unit_449,522400,Puhinui North,78,90,87,81,93
Area_Unit_450,522601,Bucklands and Eastern Beaches,24,36,30,27,27
Area_Unit_451,522602,Bucklands Beach South,0,0,0,0,0
Area_Unit_452,522603,Bleakhouse,9,9,12,6,9
Area_Unit_453,522604,Bucklands Beach South,12,21,18,15,12
Area_Unit_454,522605,Half Moon Bay Marina,0,0,0,0,0
Area_Unit_455,522711,Pigeon Mountain North,30,24,45,36,27
Area_Unit_456,522712,Murvale,39,33,39,39,42
Area_Unit_457,522721,Pigeon Mountain South,12,9,12,9,6
Area_Unit_458,522722,Highland Park,57,48,60,57,51
Area_Unit_459,522723,Elsmore Park,57,48,45,39,54
Area_Unit_460,522730,Half Moon Bay,45,48,45,45,30
Area_Unit_461,522810,Pakuranga North,42,45,48,45,36
Area_Unit_462,522820,Sunnyhills,51,36,30,39,42
Area_Unit_463,522910,Pakuranga Central,69,63,69,63,69
Area_Unit_464,522920,Edgewater,72,81,78,93,72
Area_Unit_465,523000,Pakuranga East,111,90,111,105,105
Area_Unit_466,523101,Howick South,87,54,72,57,57
Area_Unit_467,523102,Meadowland,39,42,51,39,45
Area_Unit_468,523103,Cascades,0,0,0,0,0
Area_Unit_469,523104,East Tamaki,0,0,0,0,0
Area_Unit_470,523105,Golfland,30,27,33,30,27
Area_Unit_471,523106,Millhouse,54,42,51,48,54
Area_Unit_472,523107,Burswood,36,27,24,30,33
Area_Unit_473,523108,East Tamaki (from 2001),0,0,0,0,0
Area_Unit_474,523109,Dannemora,45,39,33,30,30
Area_Unit_475,523110,Kilkenny,24,21,15,12,12
Area_Unit_476,523111,Point View,0,0,0,0,0
Area_Unit_477,523112,Highbrook,0,3,3,3,3
Area_Unit_478,523113,Greenmount,69,60,84,75,69
Area_Unit_479,523114,Point View,45,48,57,66,63
Area_Unit_480,523115,Baverstock Oaks,93,114,108,87,93
