geography type,code,description,2013,2014,2015,2016,2017
Statistical_Area_2_18,100100,North Cape,12,15,18,18,15
Statistical_Area_2_19,100200,Rangaunu Harbour,39,33,33,30,24
Statistical_Area_2_20,100300,Inlets Far North District,0,0,0,0,0
Statistical_Area_2_21,100400,Karikari Peninsula,12,15,9,6,12
Statistical_Area_2_22,100500,Tangonge,18,3,15,9,18
Statistical_Area_2_23,100600,Ahipara,9,12,18,9,15
Statistical_Area_2_24,100700,Kaitaia East,51,45,48,45,51
Statistical_Area_2_25,100800,Kaitaia West,48,63,72,48,63
Statistical_Area_2_26,100900,Rangitihi,6,12,12,9,9
Statistical_Area_2_27,101000,Oruru-Parapara,12,15,18,9,3
Statistical_Area_2_28,101100,Taumarumaru,27,24,21,18,24
Statistical_Area_2_29,101200,Herekino-Takahue,12,15,6,15,9
Statistical_Area_2_30,101300,Peria,15,12,6,12,15
Statistical_Area_2_31,101400,Taemaro-Oruaiti,6,9,9,9,12
Statistical_Area_2_32,101500,Whakapaku,9,9,9,6,6
Statistical_Area_2_33,101600,Hokianga North,6,9,6,9,6
Statistical_Area_2_34,101700,Kohukohu-Broadwood,3,3,3,6,3
Statistical_Area_2_35,101800,Whakarara,15,24,12,15,15
Statistical_Area_2_36,101900,Kaeo,18,6,15,6,18
Statistical_Area_2_37,102000,Omahuta Forest-Horeke,12,15,15,15,9
Statistical_Area_2_38,102100,Hokianga South,15,18,18,24,24
Statistical_Area_2_39,102200,Lake Manuwai-Kapiro,12,18,27,24,21
Statistical_Area_2_40,102300,Okaihau,18,12,18,12,9
Statistical_Area_2_41,102400,Rangitane-Purerua,9,15,15,15,9
Statistical_Area_2_42,102500,Waipapa,9,6,9,9,12
Statistical_Area_2_43,102600,Puketotara,18,15,15,9,18
Statistical_Area_2_44,102700,Waima Forest,18,6,12,12,9
Statistical_Area_2_45,102800,Riverview,12,15,9,18,15
Statistical_Area_2_46,102900,Waipoua Forest,15,15,18,15,15
